,A14_3,B03_4,A01_8,B06_4,野村亞太高股息基金累積型新臺幣計價,野村全球金融收益基金月配類型新臺幣計價,A11_4,A10_2,野村環球高收益債基金累積類型新臺幣計價,野村貨幣市場基金,野村多元收益平衡基金累積類型新臺幣計價,A02_4,野村新興收益傘型基金之中國境內新興債券基金人民幣計價,A01_4,A01_12,野村新馬基金,野村新興收益傘型基金之中國境內新興債券基金累積類型新臺幣計?,野村全球美元投資級公司債基金月配類型,B02_4,野村鑫全球債券組合基金S類型,A11_5,野村亞太收益多重資產基金月配類型人民幣計價,野村鑫全球債券組合基金累積類型,野村動態配置多重資產基金S類型新臺幣計價,B07_3,野村台灣運籌基金,野村優質基金S類型新臺幣計價,野村亞太高股息基金季配型新臺幣計價,野村鑫平衡組合基金累積類型,A09_4,B01_3,B01_5,野村全球氣候變遷基金,野村全球金融收益基金累積類型新臺幣計價,A03_1,野村積極成長基金,A11_2,野村巴西證券投資信託基金,B05_4,A01_21,A05_3,野村全球品牌基金,A01_19,野村全球生技醫療基金,A11_3,A06_5,A08_3,A08_7,野村歐洲高股息基金累積類型,A09_2,A04_1,野村環球基金人民幣計價,A02_6,野村平衡基金,B02_1,B05_2,A10_4,野村環球基金S類型新臺幣計價,野村美利堅高收益債證券投資信託基金累積型新臺幣計價,A09_9,A12_2,野村動態配置多重資產基金累積類型新臺幣計價,A09_6,A01_1,A02_1,野村鑫平衡組合基金S類型,野村環球高收益債基金S類型新臺幣計價,A01_20,A09_8,野村全球短期收益基金新台幣計價,野村四年階梯到期新興債配息新臺幣計價,B07_1,A01_7,B06_3,野村台灣高股息基金,野村泰國基金,A09_3,A01_3,B01_4,野村亞太複合高收益債基金累積類型人民幣計價,B03_1,A01_14,A02_7,野村新興高收益債組合基金S類型,B07_5,A14_2,野村鴻運基金,A01_10,A01_23,野村多元收益平衡基金月配類型新臺幣計價,野村鴻利基金,A14_4,A08_6,A13_2,野村全球金融收益基金月配類型人民幣計價,野村美利堅高收益債證券投資信託基金配息型新臺幣計價,A06_3,B03_5,B07_4,A02_3,B06_5,A01_17,野村新興傘型之大俄羅斯基金,野村成長基金,野村亞太新興債券基金累積類型新臺幣計價,野村全球不動產證券化基金累積型新臺幣計價,野村全球高股息基金季配型新臺幣計價,A01_18,野村日本領先基金累積類型,野村歐洲高股息基金季配類型,A01_22,A09_1,野村環球基金新臺幣計價,A09_5,A09_7,野村核心配置多重資產基金累積類型新臺幣計價,野村雙印傘型之印尼潛力基金,B01_1,B03_2,野村e科技基金,A06_2,野村新興高收益債組合基金月配型,A10_5,B06_1,A04_4,野村全球不動產證券化基金月配型新臺幣計價,野村四年階梯到期新興債累積美元計價,野村雙印傘型之印度潛力基金,野村新興收益傘型之五年階梯到期新興債基金累積美元,野村新興收益傘型基金之邊境市場高收益主權債基金月配類型新臺?,A01_13,野村新興收益傘型之五年階梯到期新興債基金季配人民幣,A01_5,野村亞太收益多重資產基金累積類型新臺幣計價,A0_3,B02_2,野村優質基金累積類型新臺幣計價,野村四年階梯到期新興債累積新臺幣計價,野村新興收益傘型基金之邊境市場高收益主權債基金累積類型新臺?,野村鴻揚貨幣市場基金,B02_5,A10_3,A02_2,A06_1,B04_1,野村中小基金累積類型,B06_2,A03_2,野村亞太複合高收益債基金月配型新臺幣計價,A12_1,A04_2,野村全球美元投資級公司債基金累積型,A08_4,野村核心配置多重資產基金S類型新臺幣計價,野村亞太新興債券基金配息類型新臺幣計價,野村新興傘型之中東非洲基金,A08_2,A07_1,A02_5,B04_4,A06_4,A11_1,野村亞太收益多重資產基金月配類型新臺幣計價,野村全球高股息基金累積型新臺幣計價,B04_5,A12_3,野村精選貨幣市場基金,野村動態配置多重資產基金月配類型新臺幣計價,B04_2,B01_2,野村環球高收益債基金月配類型新臺幣計價,A13_1,B03_3,野村歐洲中小成長基金累積類型新臺幣計價,A0_1,B05_3,A05_2,B07_2,野村中國機會基金,A06_6,A01_9,野村亞太複合高收益債基金累積型新臺幣計價,B02_3,A05_1,野村新興高收益債組合基金累積型,B04_3,B05_1,A08_1,野村高科技基金,A10_1,A08_5,B05_5,A01_6,野村四年階梯到期新興債累積人民幣計價,A04_5,野村多元收益平衡基金月配類型人民幣計價,A04_3,A01_2,A01_24,A14_1
A01_1,3,161,0,57,9,0,0,50,2,1,1,22,0,0,0,17,6,1,159,0,0,0,2,0,41,29,0,0,2,7,39,55,4,0,191,6,99,32,115,0,40,22,0,55,32,0,116,1,8,7,0,1,0,1,164,0,7,0,3,1,34,4,0,0,87,0,0,0,4,11,0,8,0,43,9,42,103,0,94,0,26,0,2,0,80,0,11,0,0,6,9,186,12,23,0,5,2,130,44,17,79,0,41,4,2,12,0,0,18,0,0,182,57,2,11,1,19,1,49,12,2,2,0,0,68,6,3,35,0,0,0,0,0,2,1,89,24,2,1,0,122,129,56,184,0,33,14,191,16,150,3,0,47,0,3,7,18,191,8,28,0,63,2,7,95,8,3,3,14,2,5,168,88,14,190,72,122,20,47,5,0,8,121,30,1,56,0,123,17,5,127,4,0,0,96,0,24,0,1,2
A01_10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A01_12,0,16,0,5,1,0,0,8,1,1,0,6,0,1,0,2,1,0,16,0,0,0,0,0,1,5,0,0,1,1,3,9,0,0,20,1,4,3,12,0,6,3,0,5,1,0,11,0,2,1,1,0,1,0,17,0,1,0,0,0,2,0,0,0,4,0,0,0,2,0,0,2,0,4,4,8,13,0,7,0,1,0,0,0,11,1,2,0,0,1,2,19,1,4,0,2,1,12,3,5,7,0,4,1,0,2,0,0,6,0,0,19,5,0,1,0,4,0,4,2,0,1,0,1,8,0,0,5,0,0,0,0,0,0,0,8,6,0,0,1,11,10,3,19,0,5,3,20,1,16,3,0,2,0,0,1,3,20,1,1,0,15,0,3,12,2,1,0,4,1,0,16,7,3,20,8,9,3,7,0,0,1,11,5,0,3,0,12,3,1,14,0,0,0,6,0,2,0,0,0
A01_13,1,32,0,8,2,0,0,14,0,0,0,11,0,0,0,2,0,0,35,0,0,0,0,0,13,4,0,0,0,2,7,11,1,0,35,2,25,5,24,0,4,4,0,7,4,0,23,0,0,6,0,0,5,0,31,0,4,0,1,0,6,0,0,0,13,0,0,0,3,0,0,2,0,12,1,5,19,0,16,0,4,0,0,0,15,0,0,0,0,1,3,34,4,6,0,1,0,28,3,1,14,0,7,1,0,2,0,0,6,0,0,32,7,1,3,0,5,0,11,4,1,0,0,0,15,0,1,7,0,0,0,0,1,0,0,16,3,0,0,1,24,18,2,31,0,6,2,35,1,25,3,0,9,0,0,0,2,35,3,5,0,6,0,0,18,4,1,0,4,1,1,31,16,4,35,12,24,3,4,3,0,2,27,8,0,9,0,15,4,0,31,0,0,0,2,0,15,0,0,0
A01_14,0,18,0,10,2,0,0,4,0,1,0,1,0,0,0,1,0,0,18,0,0,0,0,1,2,4,1,0,0,0,6,7,0,0,22,0,9,4,12,0,2,5,0,6,5,0,9,0,1,1,0,0,2,0,17,0,1,1,0,0,2,1,0,0,1,1,0,0,6,0,0,1,0,4,2,5,12,0,7,0,3,0,0,0,9,0,1,0,0,0,0,21,0,0,0,1,1,15,6,2,7,0,3,4,0,0,0,0,0,0,0,14,6,0,3,0,3,1,4,4,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,8,5,0,0,0,15,14,15,20,0,6,1,22,1,19,0,0,3,0,0,0,0,22,1,1,0,8,0,0,8,1,0,0,5,1,0,22,7,0,22,10,13,4,6,1,0,2,13,7,0,8,0,11,1,2,19,0,0,0,9,0,3,0,0,1
A01_17,0,13,0,5,1,0,0,7,0,0,0,3,0,0,0,0,1,0,12,0,0,0,0,0,4,5,0,0,0,3,3,6,0,0,14,0,4,1,9,0,4,2,0,4,2,0,8,0,0,1,0,0,0,0,13,0,2,0,0,0,3,0,0,0,5,0,0,0,1,2,0,0,0,2,4,2,8,0,5,0,2,0,1,0,4,0,2,0,0,4,0,14,1,1,0,0,0,11,3,2,7,0,2,2,0,0,1,0,1,0,0,14,5,1,0,0,1,0,3,2,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,6,5,0,1,0,9,3,1,14,0,5,0,14,1,11,0,0,3,0,0,0,3,14,2,7,0,8,0,1,3,0,0,1,2,0,1,13,9,0,14,5,8,3,5,0,0,2,7,2,0,2,0,9,0,2,12,0,0,0,3,0,1,0,0,0
A01_18,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,1,2,0,0,4,1,1,0,2,0,2,1,0,2,2,0,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,2,0,1,0,0,1,0,0,2,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,4,1,0,4,0,2,0,4,0,3,0,0,1,0,0,1,2,4,2,1,0,0,0,0,3,1,0,0,0,1,0,4,1,1,4,2,2,0,1,0,0,0,3,0,0,0,0,2,2,0,4,0,0,0,1,0,1,0,0,1
A01_19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A01_2,0,79,0,27,5,0,2,22,0,1,2,19,1,0,0,10,2,0,78,1,0,0,1,1,21,17,1,0,2,4,13,44,5,0,86,4,42,15,47,0,16,12,0,22,17,0,47,0,8,2,0,0,4,1,80,1,9,1,0,0,16,0,1,0,14,1,0,0,5,7,0,3,0,19,8,22,44,0,29,0,10,0,0,0,38,0,1,0,0,2,2,86,4,6,0,3,1,68,16,14,36,0,27,5,2,5,0,0,7,0,0,81,23,1,5,0,10,0,24,8,0,2,3,1,30,1,0,16,0,1,0,0,0,0,0,44,10,2,0,1,59,49,27,82,1,22,5,86,7,67,3,1,19,0,1,4,8,86,9,10,0,25,2,5,45,3,2,3,5,0,2,80,45,10,86,36,51,9,24,3,0,5,62,19,1,27,0,59,6,3,63,3,0,0,42,0,11,0,0,0
A01_20,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,4,0,0,1,3,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,4,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,4,0,1,1,4,0,4,0,0,2,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,1,0,0,2,3,0,4,1,0,1,2,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
