客戶,基金,基金簡稱,風險等級,金額,總金額,weight
100066,1,野村優質基金-累積類型新臺幣計價,RR4,3000,601432,0.004988095079743013
100066,5,野村 e科技基金,RR5,36079,601432,0.05998849412734939
100066,7,野村中小基金-累積類型,RR5,40000,601432,0.06650793439657351
100066,9,野村全球高股息基金-累積型新臺幣計價,RR4,3000,601432,0.004988095079743013
100066,30,野村精選貨幣市場基金,RR1,0,601432,0.0
100066,37,野村全球生技醫療基金,RR4,9617,601432,0.015990170127296185
100066,46,野村新興傘型之大俄羅斯基金,RR5,54273,601432,0.09023962808763085
100066,48,野村中國機會基金,RR5,119385,601432,0.19850124369837321
100066,49,野村全球美元投資級公司債基金-累積型,RR2,5000,601432,0.00831349179957169
100066,51,野村巴西證券投資信託基金,RR5,88041,601432,0.1463856263052182
100066,55,野村雙印傘型之印尼潛力基金,RR5,0,601432,0.0
100066,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,3000,601432,0.004988095079743013
100066,94,野村全球短期收益基金-新台幣計價,RR2,232037,601432,0.3858075393394432
100066,95,野村多元收益平衡基金-累積類型新臺幣計價,RR3,3000,601432,0.004988095079743013
100066,A9,野村亞太新興債券基金-累積類型新臺幣計價,RR3,5000,601432,0.00831349179957169
100542,20,野村環球基金-新臺幣計價,RR4,3000,3000,1.0
100558,7,野村中小基金-累積類型,RR5,6000,12000,0.5
100558,18,野村台灣運籌基金,RR4,3000,12000,0.25
100558,37,野村全球生技醫療基金,RR4,0,12000,0.0
100558,48,野村中國機會基金,RR5,3000,12000,0.25
100606,1,野村優質基金-累積類型新臺幣計價,RR4,3000,12000,0.25
100606,9,野村全球高股息基金-累積型新臺幣計價,RR4,3000,12000,0.25
100606,18,野村台灣運籌基金,RR4,3000,12000,0.25
100606,51,野村巴西證券投資信託基金,RR5,3000,12000,0.25
100657,9,野村全球高股息基金-累積型新臺幣計價,RR4,5000,5000,1.0
101140,1,野村優質基金-累積類型新臺幣計價,RR4,6000,239128,0.025091164564584656
101140,7,野村中小基金-累積類型,RR5,8000,239128,0.03345488608611288
101140,14,野村全球不動產證券化基金-累積型新臺幣計價,RR4,3000,239128,0.012545582282292328
101140,18,野村台灣運籌基金,RR4,3000,239128,0.012545582282292328
101140,24,野村新馬基金,RR5,6000,239128,0.025091164564584656
101140,36,野村台灣高股息基金,RR4,6000,239128,0.025091164564584656
101140,37,野村全球生技醫療基金,RR4,3000,239128,0.012545582282292328
101140,46,野村新興傘型之大俄羅斯基金,RR5,73000,239128,0.30527583553578
101140,48,野村中國機會基金,RR5,3000,239128,0.012545582282292328
101140,54,野村雙印傘型之印度潛力基金,RR5,3000,239128,0.012545582282292328
101140,55,野村雙印傘型之印尼潛力基金,RR5,3000,239128,0.012545582282292328
101140,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,3000,239128,0.012545582282292328
101140,67,野村歐洲中小成長基金-累積類型新臺幣計價,RR4,3000,239128,0.012545582282292328
101140,94,野村全球短期收益基金-新台幣計價,RR2,3000,239128,0.012545582282292328
101140,A9,野村亞太新興債券基金-累積類型新臺幣計價,RR3,3000,239128,0.012545582282292328
101140,B1,野村亞太新興債券基金-配息類型新臺幣計價,RR3,10128,239128,0.042353885785018905
101140,E8,野村新興收益傘型基金之中國境內新興債券基金-累積類型新臺幣計?,RR3,100000,239128,0.41818607607641095
105582,A9,野村亞太新興債券基金-累積類型新臺幣計價,RR3,1000000,1625745,0.6151026144936629
105582,48,野村中國機會基金,RR5,200000,1625745,0.12302052289873258
105582,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,0,1625745,0.0
105582,57,野村亞太複合高收益債基金-月配型新臺幣計價,RR4,0,1625745,0.0
105582,65,野村亞太複合高收益債基金-累積類型人民幣計價,RR4,420745,1625745,0.25880134953513617
105582,C9,野村優質基金-S類型新臺幣計價,RR5,500,1625745,0.0003075513072468315
105582,D4,野村鑫平衡組合基金-S類型,RR4,500,1625745,0.0003075513072468315
105582,D7,野村環球基金-S類型新臺幣計價,RR5,3500,1625745,0.00215285915072782
105582,E3,野村動態配置多重資產基金-S類型新臺幣計價,RR3,500,1625745,0.0003075513072468315
123855,A9,野村亞太新興債券基金-累積類型新臺幣計價,RR3,100000,605746,0.1650856959847857
123855,1,野村優質基金-累積類型新臺幣計價,RR4,3000,605746,0.004952570879543571
123855,23,野村積極成長基金,RR4,302758,605746,0.4998101514496175
123855,48,野村中國機會基金,RR5,99988,605746,0.16506588570126754
123855,54,野村雙印傘型之印度潛力基金,RR5,100000,605746,0.1650856959847857
101150,7,野村中小基金-累積類型,RR5,6000,351535,0.017068001763693514
101150,20,野村環球基金-新臺幣計價,RR4,9000,351535,0.025602002645540273
101150,25,野村貨幣市場基金,RR1,274021,351535,0.7794984852148434
101150,27,野村泰國基金,RR5,3000,351535,0.008534000881846757
101150,37,野村全球生技醫療基金,RR4,9000,351535,0.025602002645540273
101150,46,野村新興傘型之大俄羅斯基金,RR5,3000,351535,0.008534000881846757
101150,55,野村雙印傘型之印尼潛力基金,RR5,3000,351535,0.008534000881846757
101150,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,9000,351535,0.025602002645540273
101150,57,野村亞太複合高收益債基金-月配型新臺幣計價,RR4,29514,351535,0.0839575006756084
101150,67,野村歐洲中小成長基金-累積類型新臺幣計價,RR4,6000,351535,0.017068001763693514
101275,5,野村 e科技基金,RR5,10000,90000,0.1111111111111111
101275,7,野村中小基金-累積類型,RR5,20000,90000,0.2222222222222222
101275,20,野村環球基金-新臺幣計價,RR4,10000,90000,0.1111111111111111
101275,37,野村全球生技醫療基金,RR4,10000,90000,0.1111111111111111
101275,48,野村中國機會基金,RR5,20000,90000,0.2222222222222222
101275,54,野村雙印傘型之印度潛力基金,RR5,10000,90000,0.1111111111111111
101275,55,野村雙印傘型之印尼潛力基金,RR5,10000,90000,0.1111111111111111
101614,46,野村新興傘型之大俄羅斯基金,RR5,3000,6000,0.5
101614,48,野村中國機會基金,RR5,3000,6000,0.5
101976,1,野村優質基金-累積類型新臺幣計價,RR4,10000,35000,0.2857142857142857
